Alliance for Catholic Education          |              0|       64562755|              0|         64562755
Architecture                             |      854991491|             21|              0|        854991512
Arts & Letters                           |    19603428012|    20972994051|      557460264|      41133882327
Business                                 |    47867711243|    11535406143|     1490000144|      60893117530
Center for Nano Science & Tech           |              0|              0|              0|                0
Center for Transgene Research            |              0|       83758015|              0|         83758015
Engineering                              |   301321721241|   128152680424|   223768663908|     653243065573
Graduate School                          |              0|              0|              0|                0
Institite for Real Estate                |              0|      894767692|             88|        894767780
Kaneb Center                             |              0|             42|              0|               42
Law School                               |              0|      108153255|              0|        108153255
Office of Information Technologies       |              0|        3668157|            160|          3668317
Office of Research                       |     7554346308|     7352780685|    15771566456|      30678693449
Pre-College                              |              0|              0|              0|                0
Science                                  |   349258603407|    61209420724|    65185526584|     475653550715
University Libraries                     |      191707606|     1283908937|       55750024|       1531366567
Unknown                                  |      368583546|      395559110|              0|        764142656
